clients,tps,trans,avg_latency
1,829,248826,1.206
4,3059,917849,1.307
8,6363,1908966,1.257
12,9309,2792995,1.289
16,12737,3821402,1.256
20,15366,4610102,1.302
24,17843,5353312,1.345
28,17535,5260749,1.597
32,17739,5321972,1.804
36,17154,5147842,2.099
40,17289,5187052,2.314
44,17713,5314373,2.484
48,17912,5374626,2.68
52,18009,5403786,2.887
56,17638,5292334,3.175
60,17897,5369993,3.352
64,17751,5326229,3.605
68,17586,5277066,3.867
72,17556,5268462,4.101
76,17038,5112822,4.461
80,17475,5243342,4.578
