clients,tps,trans,avg_latency
1,1133,136071,0.882
4,4873,584776,0.821
8,8994,1079407,0.889
12,15942,1913225,0.753
16,20237,2428647,0.791
20,21920,2630648,0.912
24,28072,3368947,0.855
28,31316,3758416,0.894
32,32774,3933492,0.976
36,34805,4177249,1.034
40,36796,4416286,1.087
44,36330,4360554,1.211
48,36830,4420450,1.303
52,37075,4449930,1.403
56,38031,4564750,1.472
60,38550,4627107,1.556
64,36725,4409770,1.743
68,38268,4593937,1.777
72,39294,4716689,1.832
76,37250,4471373,2.04
80,38606,4634204,2.072
