clients,tps,trans,avg_latency
1,5421,1626575,0.184
4,20221,6066513,0.198
8,39702,11910839,0.202
12,63348,19004918,0.189
16,77212,23164185,0.207
20,108017,32406115,0.185
24,133564,40070947,0.18
28,141065,42321588,0.198
32,141011,42305622,0.227
36,140272,42084112,0.257
40,140637,42193967,0.284
44,140889,42269698,0.312
48,141451,42438596,0.339
52,141118,42339219,0.368
56,140660,42201797,0.398
60,138172,41455622,0.434
64,140368,42119614,0.456
68,139173,41756909,0.489
72,139877,41968071,0.515
76,137910,41378123,0.551
80,139317,41800698,0.574
