clients,tps,trans,avg_latency
1,689,206812,1.451
4,2733,820011,1.463
8,5503,1650968,1.454
12,8001,2400372,1.5
16,8643,2592930,1.851
20,8916,2675002,2.243
24,10392,3117781,2.309
28,14079,4224209,1.989
32,15410,4623098,2.077
36,15797,4739328,2.279
40,16088,4826705,2.486
44,16488,4946832,2.669
48,16523,4957687,2.905
52,16640,4992429,3.125
56,16352,4905936,3.425
60,16295,4889108,3.682
64,16436,4931296,3.894
68,16291,4887680,4.174
72,16312,4894149,4.414
76,16260,4878386,4.674
80,16236,4871598,4.927
