clients,tps,trans,avg_latency
1,638,76627,1.566
4,3042,365092,1.315
8,6269,752293,1.276
12,13598,1631827,0.882
16,15036,1804406,1.064
20,18045,2165459,1.108
24,22060,2647284,1.088
28,24027,2883655,1.165
32,24204,2904619,1.322
36,24772,2972698,1.453
40,25798,3096189,1.55
44,26051,3126224,1.689
48,26262,3151524,1.828
52,26623,3194909,1.953
56,26790,3214944,2.09
60,27074,3249026,2.216
64,27248,3270377,2.349
68,27562,3307578,2.467
72,27571,3308717,2.611
76,27716,3326325,2.742
80,27617,3314154,2.897
