clients,tps,trans,avg_latency
1,4367,1310348,0.229
4,16727,5018185,0.239
8,34806,10442047,0.23
12,54357,16307312,0.221
16,58539,17561760,0.273
20,63418,19025497,0.315
24,65321,19596606,0.367
28,83541,25062630,0.335
32,111868,33560521,0.286
36,115876,34762936,0.311
40,118444,35533318,0.338
44,121736,36521001,0.361
48,123929,37178903,0.387
52,122843,36853192,0.423
56,124293,37288212,0.451
60,123593,37078211,0.485
64,123441,37032664,0.518
68,123558,37067608,0.55
72,121224,36367552,0.594
76,122624,36787654,0.62
80,121755,36526762,0.657
