clients,tps,trans,avg_latency
1,671,80621,1.488
4,3811,457381,1.049
8,6686,802425,1.196
12,12817,1538211,0.936
16,12843,1541278,1.246
20,18629,2235718,1.074
24,22547,2705979,1.064
28,26590,3191206,1.053
32,27801,3336622,1.151
36,28704,3444996,1.254
40,29405,3529260,1.36
44,29746,3570202,1.479
48,31594,3792565,1.519
52,32330,3880436,1.608
56,32335,3881870,1.732
60,32819,3939544,1.828
64,32865,3944864,1.947
68,33029,3964595,2.059
72,33247,3991670,2.166
76,33454,4015920,2.272
80,32815,3940117,2.438
