clients,tps,trans,avg_latency
1,522,62674,1.915
4,2545,305418,1.572
8,4605,552652,1.737
12,9775,1173099,1.228
16,10664,1279829,1.5
20,16104,1932725,1.242
24,15384,1846287,1.56
28,19458,2335269,1.439
32,22698,2724166,1.41
36,24361,2923807,1.478
40,25481,3058665,1.57
44,26101,3132753,1.686
48,27147,3258268,1.768
52,28064,3369272,1.853
56,28746,3450400,1.948
60,29660,3561072,2.023
64,28902,3469317,2.214
68,30086,3611888,2.26
72,30659,3680239,2.348
76,31598,3793003,2.405
80,32707,3927105,2.446
