clients,tps,trans,avg_latency
1,974,116992,1.026
4,4600,552080,0.869
8,7965,955847,1.004
12,15231,1827847,0.788
16,14880,1785805,1.075
20,20444,2453573,0.978
24,25774,3093320,0.931
28,28630,3436061,0.978
32,29006,3481163,1.103
36,29958,3595600,1.202
40,30642,3678064,1.305
44,32249,3870682,1.364
48,32444,3894125,1.479
52,34389,4127630,1.512
56,34104,4093465,1.642
60,33969,4078298,1.766
64,34796,4176683,1.839
68,34878,4189080,1.95
72,35992,4320405,2.0
76,34932,4193482,2.176
80,35016,4203410,2.285
