clients,tps,trans,avg_latency
1,1309,157177,0.763
4,5347,641770,0.748
8,12390,1486854,0.646
12,18717,2246215,0.641
16,22045,2645623,0.726
20,28000,3360361,0.714
24,34265,4112225,0.7
28,36032,4324311,0.777
32,37463,4496142,0.854
36,38532,4624495,0.934
40,39865,4784919,1.003
44,39869,4785205,1.104
48,39035,4686538,1.23
52,40864,4904807,1.272
56,39867,4785215,1.405
60,39344,4722491,1.525
64,41389,4968041,1.546
68,41343,4963343,1.645
72,39323,4721501,1.831
76,41738,5010131,1.821
80,42048,5049218,1.903
