clients,tps,trans,avg_latency
1,545,65402,1.835
4,2676,321235,1.494
8,5048,605976,1.585
12,9591,1150996,1.251
16,10630,1276153,1.505
20,14613,1753668,1.369
24,15652,1878295,1.533
28,19267,2312085,1.453
32,21755,2610654,1.471
36,23251,2790225,1.548
40,23174,2781128,1.726
44,24814,2977741,1.773
48,25369,3044423,1.892
52,25891,3107070,2.008
56,26260,3151265,2.133
60,26855,3222672,2.234
64,27160,3260034,2.356
68,27316,3277998,2.489
72,27625,3315687,2.606
76,28030,3363758,2.711
80,28241,3389097,2.833
