clients,tps,trans,avg_latency
1,447,53660,2.236
4,1974,236948,2.026
8,3610,433246,2.216
12,8104,972493,1.481
16,8536,1024455,1.874
20,13219,1586581,1.513
24,12591,1511258,1.906
28,17050,2046113,1.642
32,18765,2252155,1.705
36,17784,2134432,2.024
40,19414,2329788,2.06
44,20966,2516367,2.099
48,21696,2604216,2.212
52,22352,2682674,2.326
56,22631,2716288,2.474
60,23238,2789164,2.582
64,23470,2816490,2.727
68,23997,2880340,2.834
72,24730,2967726,2.911
76,25582,3070015,2.971
80,26237,3149260,3.049
