clients,tps,trans,avg_latency
1,733,87990,1.364
4,3317,398162,1.206
8,5965,715879,1.341
12,10791,1295008,1.112
16,11579,1389556,1.382
20,15664,1879856,1.277
24,17910,2149284,1.34
28,20946,2513653,1.337
32,22828,2739445,1.402
36,24011,2881443,1.499
40,24721,2967003,1.618
44,25248,3029873,1.743
48,25575,3069088,1.877
52,26190,3142964,1.985
56,26679,3202309,2.099
60,27021,3242957,2.22
64,27137,3257331,2.358
68,27328,3279882,2.488
72,27505,3300716,2.618
76,27819,3338478,2.732
80,27796,3335701,2.878
