clients,tps,trans,avg_latency
1,1072,128745,0.932
4,4248,509824,0.942
8,8845,1061457,0.904
12,13625,1635099,0.881
16,16921,2030564,0.946
20,18502,2220378,1.081
24,23737,2848484,1.011
28,25999,3120007,1.077
32,27187,3262490,1.177
36,28228,3387959,1.275
40,28517,3422544,1.403
44,29031,3483874,1.516
48,29729,3567900,1.615
52,30138,3617005,1.725
56,30129,3615630,1.859
60,30343,3641348,1.977
64,30508,3661131,2.098
68,30623,3674890,2.221
72,30626,3675330,2.351
76,30617,3674552,2.482
80,30477,3657349,2.625
